,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
838,QY4yosH2,peugeot,206,1399,800,265000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
839,QY4y4LcJ,chery,tiggo-5,1397,52000,535000000,مشکی,سالم,,سالم و بیu200cخط و خش,8
840,QY464Tw9,mvm,315-sedan,1393,160000,150000000,مشکی,سالم,سالم و پلمپ,صافکاری بیu200cرنگ، در ۱ ناحیه,6
841,QYl5HIu4,mvm,x22,1400,0,193000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
842,AY-ciM56,chery,arrizo-5te,1400,0,188000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
843,QY46YGJG,saina,manual,1399,1,185000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
844,QYf-0eUl,saina,manual,1400,0,198000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
845,QY42YsKL,peugeot,405,1396,54000,228000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
846,QYYSa_Hh,mvm,x22,1400,0,170000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
847,QYhSOGqs,mvm,x22,1400,0,290000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
848,QY06pap_,pride,131,1396,79000,127000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
849,QY4y4dRL,peugeot,pars,1400,10000,260000000,خاکستری,سالم,سالم و پلمپ,رنگu200cشدگی، در ۱ ناحیه,7
850,QY6WyjJl,pride,131,1399,17000,150000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
